N,Threads,Serial Time,Parallel Time,Speedup,Efficiency
256,1,0.000122807,0.000448482,0.273828,0.273828
256,2,0.000134787,0.000287632,0.468609,0.234305
256,4,0.000136667,0.000182213,0.75004,0.18751
256,6,0.000135953,0.000143621,0.946609,0.157768
512,1,0.000602472,0.00179599,0.335454,0.335454
512,2,0.000712233,0.000903081,0.78867,0.394335
512,4,0.000559876,0.000496817,1.12693,0.281732
512,6,0.000557842,0.000362302,1.53972,0.256619
1024,1,0.00252457,0.00732351,0.344722,0.344722
1024,2,0.00261612,0.00354583,0.737803,0.368901
1024,4,0.00247887,0.00176175,1.40705,0.351762
1024,6,0.0024241,0.00123648,1.96048,0.326746
2048,1,0.0215597,0.0320594,0.672491,0.672491
2048,2,0.0219824,0.0163579,1.34384,0.671919
2048,4,0.0214587,0.00842307,2.54761,0.636902
2048,6,0.0220364,0.00592196,3.72113,0.620189
